Belmullet,Valentia,DublinAirport,MalinHead,Mullingar,ShannonAirport,Year,Category,Month
160.2,214.8,40.0,127.2,109.4,115.6,1958,total,01
75.2,130.8,101.6,143.2,82.0,92.8,1958,total,02
86.4,133.5,23.4,45.6,34.1,52.0,1958,total,03
30.6,40.6,29.9,52.3,25.7,30.2,1958,total,04
118.0,123.1,103.9,69.0,86.6,97.6,1958,total,05
144.5,131.2,168.5,127.9,131.9,63.2,1958,total,06
41.7,108.2,109.5,88.0,132.9,89.3,1958,total,07
149.9,143.1,140.6,89.1,127.1,107.2,1958,total,08
118.6,198.9,128.8,66.8,104.4,91.9,1958,total,09
82.5,103.8,52.0,94.4,74.2,72.3,1958,total,10
78.0,107.2,45.4,69.4,48.5,55.1,1958,total,11
147.0,150.0,90.3,141.9,99.7,72.5,1958,total,12
72.1,120.1,47.4,72.0,60.0,76.0,1959,total,01
30.4,46.9,13.1,21.2,29.3,21.2,1959,total,02
88.1,168.9,39.7,70.9,66.7,63.7,1959,total,03
88.2,106.8,44.1,82.9,69.3,72.1,1959,total,04
37.1,65.1,73.6,27.7,20.4,58.0,1959,total,05
75.9,67.3,37.2,50.5,66.5,75.4,1959,total,06
72.4,50.0,45.2,92.5,66.4,61.2,1959,total,07
47.6,63.0,17.6,35.5,19.3,29.9,1959,total,08
46.2,60.9,24.3,36.4,55.6,44.7,1959,total,09
136.2,208.0,106.7,132.0,143.6,139.4,1959,total,10
167.4,196.4,89.6,132.2,97.2,87.7,1959,total,11
201.2,319.5,132.1,133.7,177.4,239.8,1959,total,12
101.0,164.4,87.4,113.0,96.5,83.1,1960,total,01
91.6,135.2,35.2,102.9,53.2,47.2,1960,total,02
69.0,122.9,97.2,44.4,49.3,44.7,1960,total,03
66.8,102.8,27.2,54.1,72.6,70.6,1960,total,04
56.1,84.5,52.4,59.8,69.4,109.4,1960,total,05
89.5,68.6,51.1,79.4,92.1,80.2,1960,total,06
112.9,174.5,139.8,129.5,157.5,121.0,1960,total,07
84.3,60.0,86.3,103.4,95.6,82.9,1960,total,08
105.2,162.9,81.2,64.1,102.8,106.5,1960,total,09
64.3,109.4,161.3,67.4,103.1,72.6,1960,total,10
158.3,283.6,117.7,85.8,161.8,182.0,1960,total,11
150.1,221.6,95.4,148.3,102.9,175.1,1960,total,12
163.4,261.1,106.3,100.9,132.5,130.9,1961,total,01
86.5,124.2,50.8,113.3,75.8,97.1,1961,total,02
37.9,19.1,4.0,60.4,13.3,18.0,1961,total,03
91.9,147.8,90.4,124.5,109.8,95.9,1961,total,04
56.7,44.3,29.6,47.2,55.3,32.6,1961,total,05
64.5,59.4,42.4,49.9,56.9,42.2,1961,total,06
117.2,93.5,52.6,73.3,82.5,81.1,1961,total,07
96.0,47.0,47.3,131.2,74.1,76.5,1961,total,08
137.4,205.3,86.4,92.2,115.7,94.2,1961,total,09
194.8,173.6,58.8,101.8,73.5,84.8,1961,total,10
111.7,92.8,52.8,90.7,58.9,67.4,1961,total,11
103.6,107.7,57.1,98.0,66.1,83.7,1961,total,12
153.9,165.8,41.1,143.6,98.1,147.6,1962,total,01
48.1,36.6,26.7,66.2,63.7,37.7,1962,total,02
98.7,126.9,53.6,78.6,58.9,68.7,1962,total,03
68.9,75.1,40.8,65.6,58.7,57.5,1962,total,04
50.3,95.0,56.8,44.5,84.2,49.1,1962,total,05
56.2,69.3,24.9,59.1,40.6,46.1,1962,total,06
42.7,68.6,68.0,43.9,55.9,53.9,1962,total,07
105.6,125.1,73.1,135.8,106.2,131.9,1962,total,08
130.3,143.5,129.2,123.0,177.3,107.6,1962,total,09
59.3,71.4,16.8,38.9,38.8,47.5,1962,total,10
145.3,123.3,47.9,97.3,73.5,83.0,1962,total,11
98.2,131.7,75.3,95.4,112.3,90.6,1962,total,12
21.0,26.1,41.1,35.2,27.5,11.2,1963,total,01
30.8,122.4,61.9,34.4,33.2,34.7,1963,total,02
